15:28:03.499 [main] INFO  testCases.register.RegisterUITest - ***** Kết thúc TC_RF_007_verifyNavigationToRegisterPageFromDifferentLinks *****
15:46:54.971 [main] DEBUG org.testng.TestNG - suiteXmlPath: "D:\workspace\workspace_new\Project-OpenCart\master.xml"
15:46:55.417 [main] INFO  org.testng.internal.Utils - [TestNG] Running:
  D:\workspace\workspace_new\Project-OpenCart\master.xml

15:46:59.662 [main] INFO  pageObjects.HomePage - Thành công: Đã click vào [My Account]
15:47:00.234 [main] INFO  pageObjects.HomePage - Thành công: Đã click vào [Register]
15:47:00.252 [main] INFO  testCases.register.RegisterUITest - ***** Bắt đầu TC_RF_007_verifyNavigationToRegisterPageFromDifferentLinks *****
15:47:00.352 [main] INFO  pageObjects.AccountRegistrationPage - Thành công: Đã lấy được text từ [Trang đăng ký] là: 'Register Account'
15:47:00.505 [main] INFO  pageObjects.AccountRegistrationPage - Thành công: Đã click vào [My Account]
15:47:00.977 [main] INFO  pageObjects.AccountRegistrationPage - Thành công: Đã click vào [Login]
15:47:01.475 [main] INFO  pageObjects.LoginPage - Thành công: Đã click vào [Continue in New Customer of LoginPage]
15:47:01.526 [main] INFO  pageObjects.AccountRegistrationPage - Thành công: Đã lấy được text từ [Trang đăng ký] là: 'Register Account'
15:47:01.655 [main] INFO  pageObjects.AccountRegistrationPage - Thành công: Đã click vào [My Account]
15:47:02.110 [main] INFO  pageObjects.AccountRegistrationPage - Thành công: Đã click vào [Login]
15:47:02.614 [main] INFO  pageObjects.LoginPage - Thành công: Đã click vào [Register in the right column]
15:47:02.665 [main] INFO  pageObjects.AccountRegistrationPage - Thành công: Đã lấy được text từ [Trang đăng ký] là: 'Register Account'
15:47:02.665 [main] INFO  testCases.register.RegisterUITest - ***** Kết thúc TC_RF_007_verifyNavigationToRegisterPageFromDifferentLinks *****
15:47:03.642 [main] INFO  pageObjects.HomePage - Thành công: Đã click vào [My Account]
15:47:04.090 [main] INFO  pageObjects.HomePage - Thành công: Đã click vào [Register]
15:47:04.093 [main] INFO  testCases.register.RegisterUITest - ***** Bắt đầu TC_RF_013_verifyFieldPlaceholders *****
15:47:04.154 [main] INFO  pageObjects.AccountRegistrationPage - Thành công: Đã lấy được attribute [placeholder] từ [Ô nhập liệu FirstName] là: 'First Name'
15:47:04.199 [main] INFO  pageObjects.AccountRegistrationPage - Thành công: Đã lấy được attribute [placeholder] từ [Ô nhập liệu LastName] là: 'Last Name'
15:47:04.243 [main] INFO  pageObjects.AccountRegistrationPage - Thành công: Đã lấy được attribute [placeholder] từ [Ô nhập liệu Email] là: 'E-Mail'
15:47:04.290 [main] INFO  pageObjects.AccountRegistrationPage - Thành công: Đã lấy được attribute [placeholder] từ [Ô nhập liệu Telephone] là: 'Telephone'
15:47:04.340 [main] INFO  pageObjects.AccountRegistrationPage - Thành công: Đã lấy được attribute [placeholder] từ [Ô nhập liệu Password] là: 'Password'
15:47:04.382 [main] INFO  pageObjects.AccountRegistrationPage - Thành công: Đã lấy được attribute [placeholder] từ [Ô nhập liệu Confirm Password] là: 'Password Confirm'
15:47:04.383 [main] INFO  testCases.register.RegisterUITest - ***** Kết thúc TC_RF_013_verifyFieldPlaceholders *****
23:49:48.911 [main] DEBUG org.testng.TestNG - suiteXmlPath: "D:\workspace\workspace_new\Project-OpenCart\master.xml"
23:49:49.451 [main] INFO  org.testng.internal.Utils - [TestNG] Running:
  D:\workspace\workspace_new\Project-OpenCart\master.xml

23:49:55.136 [main] INFO  pageObjects.HomePage - Thành công: Đã click vào [My Account]
23:49:55.684 [main] INFO  pageObjects.HomePage - Thành công: Đã click vào [Register]
23:49:55.703 [main] INFO  testCases.register.RegisterUITest - ***** Bắt đầu TC_RF_007_verifyNavigationToRegisterPageFromDifferentLinks *****
23:49:55.773 [main] INFO  pageObjects.AccountRegistrationPage - Thành công: Đã lấy được text từ [Trang đăng ký] là: 'Register Account'
23:49:55.952 [main] INFO  pageObjects.AccountRegistrationPage - Thành công: Đã click vào [My Account]
23:49:56.444 [main] INFO  pageObjects.AccountRegistrationPage - Thành công: Đã click vào [Login]
23:49:56.950 [main] INFO  pageObjects.LoginPage - Thành công: Đã click vào [Continue in New Customer of LoginPage]
23:49:57.003 [main] INFO  pageObjects.AccountRegistrationPage - Thành công: Đã lấy được text từ [Trang đăng ký] là: 'Register Account'
23:49:57.129 [main] INFO  pageObjects.AccountRegistrationPage - Thành công: Đã click vào [My Account]
23:49:57.548 [main] INFO  pageObjects.AccountRegistrationPage - Thành công: Đã click vào [Login]
23:49:58.015 [main] INFO  pageObjects.LoginPage - Thành công: Đã click vào [Register in the right column]
23:49:58.062 [main] INFO  pageObjects.AccountRegistrationPage - Thành công: Đã lấy được text từ [Trang đăng ký] là: 'Register Account'
