02:50:54.481 [main] INFO  testCases.register.RegisterUITest - ***** Bắt đầu TC_RF_020_verifyPrivacyPolicyNotSelectedByDefault *****
02:50:54.511 [main] INFO  pageObjects.AccountRegistrationPage - Kiểm tra trạng thái hiển thị của [Privacy Policy]: Đang được chọn.false
02:50:54.511 [main] INFO  testCases.register.RegisterUITest - ***** Kết thúc TC_RF_020_verifyPrivacyPolicyNotSelectedByDefault *****
02:50:54.991 [main] INFO  pageObjects.HomePage - Thành công: Đã click vào [My Account]
02:50:55.264 [main] INFO  pageObjects.HomePage - Thành công: Đã click vào [Register]
02:50:55.265 [main] INFO  testCases.register.RegisterUITest - ***** Bắt đầu TC_RF_022_verifyPasswordCharactersAreMasked *****
02:50:55.344 [main] INFO  pageObjects.AccountRegistrationPage - Thành công: Đã nhập giá trị '123456' vào [Trường Password]
02:50:55.420 [main] INFO  pageObjects.AccountRegistrationPage - Thành công: Đã nhập giá trị '123456' vào [Trường ConfirmPassword]
02:50:55.443 [main] INFO  pageObjects.AccountRegistrationPage - Thành công: Đã lấy được attribute [type] từ [Ô nhập liệu Password] là: 'password'
02:50:55.463 [main] INFO  pageObjects.AccountRegistrationPage - Thành công: Đã lấy được attribute [type] từ [Ô nhập liệu Password Confirm] là: 'password'
02:50:55.463 [main] INFO  testCases.register.RegisterUITest - ***** Kết thúc TC_RF_022_verifyPasswordCharactersAreMasked *****
02:50:56.060 [main] INFO  pageObjects.HomePage - Thành công: Đã click vào [My Account]
02:50:56.382 [main] INFO  pageObjects.HomePage - Thành công: Đã click vào [Register]
02:50:56.384 [main] INFO  testCases.register.RegisterUITest - ***** Bắt đầu TC_RF_025_verifyPageTitleUrlHeadingAndBreadcrumb *****
02:50:56.400 [main] INFO  pageObjects.AccountRegistrationPage - Thành công: Đã tìm thấy 3 phần tử của [Breadcrumb]
02:50:56.452 [main] INFO  pageObjects.AccountRegistrationPage - Thành công: Đã lấy được text từ [Trang đăng ký] là: 'Register Account'
02:50:56.470 [main] INFO  testCases.register.RegisterUITest - ***** Kết thúc TC_RF_025_verifyPageTitleUrlHeadingAndBreadcrumb *****
02:50:56.949 [main] INFO  pageObjects.HomePage - Thành công: Đã click vào [My Account]
02:50:57.247 [main] INFO  pageObjects.HomePage - Thành công: Đã click vào [Register]
02:50:57.249 [main] INFO  testCases.register.RegisterUITest - ***** Bắt đầu TC_RF_027_verifyRegisterFunctionalityAcrossSupportedEnvironments *****
02:50:57.273 [main] INFO  pageObjects.AccountRegistrationPage - Thành công: Đã lấy được text từ [Trang đăng ký] là: 'Register Account'
02:50:57.274 [main] INFO  testCases.register.RegisterUITest - ***** Kết thúc TC_RF_027_verifyRegisterFunctionalityAcrossSupportedEnvironments *****
